optionid;date;cp_flag;style;exdate;last_date;open_interest;best_bid;best_offer;volume;strike_price;Mid;Strike
130244565;13.11.2019;C;E;20.12.2019;.;0;574,6;581,4;0;2515000;578;2515
130244566;13.11.2019;C;E;20.12.2019;.;0;569,6;576,4;0;2520000;573;2520
114281415;13.11.2019;C;E;20.12.2019;01.10.2019;4621;564,7;571,5;0;2525000;568,1;2525
130244567;13.11.2019;C;E;20.12.2019;18.10.2019;7;559,7;566,5;0;2530000;563,1;2530
130244568;13.11.2019;C;E;20.12.2019;.;0;554,7;561,6;0;2535000;558,15;2535
130244569;13.11.2019;C;E;20.12.2019;.;0;549,8;556,6;0;2540000;553,2;2540
130244570;13.11.2019;C;E;20.12.2019;.;0;544,8;551,6;0;2545000;548,2;2545
114281416;13.11.2019;C;E;20.12.2019;12.11.2019;9522;539,9;546,7;0;2550000;543,3;2550
130244571;13.11.2019;C;E;20.12.2019;.;0;534,9;541,7;0;2555000;538,3;2555
130244572;13.11.2019;C;E;20.12.2019;.;0;530;536,8;0;2560000;533,4;2560
130244573;13.11.2019;C;E;20.12.2019;.;0;525;531,8;0;2565000;528,4;2565
130244574;13.11.2019;C;E;20.12.2019;.;0;520;526,9;0;2570000;523,45;2570
114805225;13.11.2019;C;E;20.12.2019;11.11.2019;15085;515,1;521,9;0;2575000;518,5;2575
130244575;13.11.2019;C;E;20.12.2019;.;0;510,2;517;0;2580000;513,6;2580
130244576;13.11.2019;C;E;20.12.2019;.;0;505,2;512;0;2585000;508,6;2585
130244577;13.11.2019;C;E;20.12.2019;23.10.2019;1;500,3;507,1;0;2590000;503,7;2590
130244578;13.11.2019;C;E;20.12.2019;28.08.2019;1;495,3;502,1;0;2595000;498,7;2595
114281417;13.11.2019;C;E;20.12.2019;01.11.2019;26247;490,4;497,2;0;2600000;493,8;2600
130244579;13.11.2019;C;E;20.12.2019;10.10.2019;1;485,4;492,2;0;2605000;488,8;2605
130244580;13.11.2019;C;E;20.12.2019;23.10.2019;1;480,4;487,2;0;2610000;483,8;2610
130244581;13.11.2019;C;E;20.12.2019;.;0;475,5;482,3;0;2615000;478,9;2615
130244582;13.11.2019;C;E;20.12.2019;22.10.2019;3;470,6;477,4;0;2620000;474;2620
114822270;13.11.2019;C;E;20.12.2019;30.10.2019;6017;465,6;472,4;0;2625000;469;2625
130244583;13.11.2019;C;E;20.12.2019;17.10.2019;1711;460,7;467,5;0;2630000;464,1;2630
130244584;13.11.2019;C;E;20.12.2019;.;0;455,8;462,5;0;2635000;459,15;2635
130244585;13.11.2019;C;E;20.12.2019;22.10.2019;4;450,8;457,5;0;2640000;454,15;2640
130244586;13.11.2019;C;E;20.12.2019;05.11.2019;12;445,9;452,7;0;2645000;449,3;2645
114281418;13.11.2019;C;E;20.12.2019;29.10.2019;22321;441;447,7;0;2650000;444,35;2650
130244587;13.11.2019;C;E;20.12.2019;17.10.2019;3;436;442,7;0;2655000;439,35;2655
130244588;13.11.2019;C;E;20.12.2019;17.10.2019;3;431,1;437,8;0;2660000;434,45;2660
130244589;13.11.2019;C;E;20.12.2019;.;0;426,2;432,9;0;2665000;429,55;2665
130244590;13.11.2019;C;E;20.12.2019;.;0;421,3;428;0;2670000;424,65;2670
116364863;13.11.2019;C;E;20.12.2019;22.10.2019;11983;416,3;423;0;2675000;419,65;2675
130244591;13.11.2019;C;E;20.12.2019;22.10.2019;2;411,4;418,1;0;2680000;414,75;2680
130244592;13.11.2019;C;E;20.12.2019;.;0;406,5;413,1;0;2685000;409,8;2685
130244593;13.11.2019;C;E;20.12.2019;21.10.2019;9;401,6;408,3;0;2690000;404,95;2690
130244594;13.11.2019;C;E;20.12.2019;28.08.2019;1;396,7;403,4;0;2695000;400,05;2695
114281419;13.11.2019;C;E;20.12.2019;31.10.2019;19426;391,8;398,4;0;2700000;395,1;2700
130244595;13.11.2019;C;E;20.12.2019;28.08.2019;1;386,9;393,5;0;2705000;390,2;2705
130244596;13.11.2019;C;E;20.12.2019;21.10.2019;9;382;388,6;0;2710000;385,3;2710
130244597;13.11.2019;C;E;20.12.2019;.;0;377,1;383,7;0;2715000;380,4;2715
130244598;13.11.2019;C;E;20.12.2019;06.11.2019;3;372,2;378,7;0;2720000;375,45;2720
116364864;13.11.2019;C;E;20.12.2019;31.10.2019;11629;367,3;373,8;0;2725000;370,55;2725
130244599;13.11.2019;C;E;20.12.2019;24.10.2019;4;362,4;368,9;0;2730000;365,65;2730
130244600;13.11.2019;C;E;20.12.2019;.;0;357,6;364,1;0;2735000;360,85;2735
130244601;13.11.2019;C;E;20.12.2019;23.10.2019;5;352,7;359,2;0;2740000;355,95;2740
130244602;13.11.2019;C;E;20.12.2019;28.08.2019;1;347,8;354,3;0;2745000;351,05;2745
114281420;13.11.2019;C;E;20.12.2019;12.11.2019;21701;342,9;349,4;0;2750000;346,15;2750
130244603;13.11.2019;C;E;20.12.2019;28.08.2019;1;338,1;344,5;0;2755000;341,3;2755
130244604;13.11.2019;C;E;20.12.2019;29.10.2019;8;333,2;339,7;0;2760000;336,45;2760
130244605;13.11.2019;C;E;20.12.2019;.;0;328,3;334,7;0;2765000;331,5;2765
130244606;13.11.2019;C;E;20.12.2019;30.10.2019;3;323,5;329,9;0;2770000;326,7;2770
117935017;13.11.2019;C;E;20.12.2019;07.11.2019;12921;318,6;325;0;2775000;321,8;2775
130244607;13.11.2019;C;E;20.12.2019;03.10.2019;2;313,8;319,7;0;2780000;316,75;2780
130244608;13.11.2019;C;E;20.12.2019;03.10.2019;2;309;314,9;0;2785000;311,95;2785
130244609;13.11.2019;C;E;20.12.2019;03.10.2019;2;304,2;310;0;2790000;307,1;2790
